ID_Alumno,Memoria,Matematicas,Gramatica,Ingles,Geografia,Arte,Ciencia,Logica,Puntuacion_Promedio,Rango
ALU0046,55,47,74,88,70,81,68,66,68.62,3
ALU0047,44,36,15,0,35,36,43,47,32.0,1
ALU0048,59,45,70,54,60,64,34,33,52.38,2
ALU0049,63,43,21,66,53,47,57,69,52.38,2
ALU0050,21,25,47,36,8,23,5,10,21.88,1
ALU0051,78,100,88,78,81,95,100,74,86.75,4
ALU0052,84,81,72,54,71,72,78,70,72.75,3
ALU0053,86,84,88,78,73,84,100,92,85.62,4
ALU0054,71,93,90,100,76,100,65,90,85.62,4
ALU0055,72,53,58,28,46,44,56,76,54.12,2
ALU0056,100,94,86,66,84,90,98,80,87.25,4
ALU0057,12,33,28,4,8,0,29,35,18.62,1
ALU0058,44,0,29,5,23,0,26,45,21.5,1
ALU0059,9,21,0,8,17,26,3,12,12.0,1
ALU0060,30,11,43,59,31,53,31,22,35.0,1
ALU0061,33,58,46,18,24,32,27,74,39.0,1
ALU0062,45,19,22,26,8,30,46,53,31.12,1
ALU0063,71,61,89,79,81,75,87,82,78.12,4
ALU0064,44,47,35,31,30,32,34,18,33.88,1
ALU0065,24,35,27,1,28,22,36,38,26.38,1
ALU0066,49,38,50,42,57,60,52,45,49.12,2
ALU0067,27,0,0,6,32,11,14,29,14.88,1
ALU0068,73,74,70,88,59,83,68,80,74.38,3
ALU0069,7,0,20,19,1,36,2,0,10.62,1
ALU0070,100,77,93,65,92,99,98,77,87.62,4
ALU0071,90,76,59,67,63,76,87,63,72.62,3
ALU0072,29,8,34,13,7,14,18,45,21.0,1
ALU0073,0,11,1,40,18,5,0,0,9.38,1
ALU0074,73,100,63,83,67,53,89,46,71.75,3
ALU0075,69,66,95,49,55,91,69,65,69.88,3
ALU0076,73,72,57,56,59,56,43,66,60.25,3
ALU0077,64,100,84,67,85,45,65,96,75.75,4
ALU0078,18,0,2,18,4,10,17,32,12.62,1
ALU0079,38,55,38,45,23,42,27,18,35.75,1
ALU0080,0,31,4,19,7,35,16,20,16.5,1
ALU0081,73,95,67,78,82,86,67,93,80.12,4
ALU0082,56,80,67,58,70,74,56,59,65.0,3
ALU0083,34,38,39,32,42,48,21,37,36.38,1
ALU0084,29,1,24,0,2,23,0,26,13.12,1
ALU0085,35,49,32,31,27,15,23,37,31.12,1
ALU0086,25,51,60,23,55,41,44,43,42.75,2
ALU0087,72,87,73,40,80,49,75,90,70.75,3
ALU0088,58,63,69,100,59,92,87,56,73.0,3
ALU0089,88,74,68,90,61,95,77,95,81.0,4
ALU0090,53,50,40,47,42,38,59,41,46.25,2
ALU0091,27,29,21,9,2,21,38,30,22.12,1
ALU0092,68,84,68,82,60,54,82,60,69.75,3
ALU0093,89,67,75,52,63,50,87,79,70.25,3
ALU0094,64,60,45,49,53,68,56,52,55.88,2
ALU0095,67,54,75,57,75,59,77,82,68.25,3
ALU0096,71,64,50,62,42,46,38,37,51.25,2
ALU0097,55,40,37,37,39,55,19,48,41.25,2
ALU0098,35,55,51,63,41,40,45,42,46.5,2
ALU0099,23,0,0,5,2,0,0,0,3.75,1
ALU0100,35,30,16,28,0,15,9,6,17.38,1
ALU0101,7,12,29,15,13,10,0,0,10.75,1
ALU0102,57,50,70,81,54,75,66,67,65.0,3
ALU0103,31,43,41,16,30,69,30,44,38.0,1
ALU0104,57,41,40,67,48,21,65,31,46.25,2
ALU0105,99,97,100,53,86,74,78,70,82.12,4
ALU0106,33,23,43,28,28,30,29,14,28.5,1
ALU0107,42,16,31,32,28,57,39,24,33.62,1
ALU0108,87,58,67,47,76,78,69,78,70.0,3
ALU0109,22,19,40,9,22,42,24,15,24.12,1
ALU0110,22,32,33,0,22,0,30,15,19.25,1
ALU0111,28,44,15,27,39,26,41,20,30.0,1
ALU0112,23,43,7,10,32,41,14,14,23.0,1
ALU0113,87,100,86,90,79,75,81,100,87.25,4
ALU0114,77,69,51,62,90,34,68,61,64.0,3
ALU0115,58,59,62,53,62,49,63,54,57.5,2
ALU0116,96,77,97,78,90,89,65,89,85.12,4
ALU0117,70,67,60,80,84,76,74,72,72.88,3
ALU0118,14,0,23,37,26,2,26,24,19.0,1
ALU0119,100,85,78,100,74,74,76,85,84.0,4
ALU0120,63,34,73,57,63,33,54,32,51.12,2
ALU0121,53,77,70,85,81,59,80,97,75.25,4
ALU0122,79,100,100,91,70,72,64,84,82.5,4
ALU0123,15,25,26,27,28,35,36,55,30.88,1
ALU0124,5,17,24,31,2,0,9,19,13.38,1
ALU0125,0,39,28,9,11,46,47,43,27.88,1
ALU0126,42,47,41,6,51,41,45,57,41.25,2
ALU0127,67,83,69,59,63,62,67,95,70.62,3
ALU0128,83,77,86,100,69,67,60,79,77.62,4
ALU0129,0,2,0,0,25,0,5,30,7.75,1
ALU0130,51,36,42,55,46,51,66,44,48.88,2
ALU0131,38,55,60,37,49,44,35,47,45.62,2
ALU0132,40,0,31,35,36,22,28,37,28.62,1
ALU0133,29,30,23,17,23,4,24,60,26.25,1
ALU0134,43,14,30,34,36,35,43,50,35.62,1
ALU0135,86,100,87,100,89,58,89,82,86.38,4
ALU0136,53,28,31,25,39,15,26,37,31.75,1
ALU0137,36,33,55,58,49,41,48,32,44.0,2
ALU0138,54,76,75,65,75,48,55,88,67.0,3
ALU0139,36,51,37,35,35,34,26,0,31.75,1
ALU0140,100,85,82,77,91,72,100,90,87.12,4
ALU0141,89,100,100,87,100,100,95,100,96.38,5
ALU0142,25,0,28,17,22,5,31,38,20.75,1
ALU0143,35,29,32,70,49,72,41,56,48.0,2
ALU0144,41,51,6,1,36,2,46,15,24.75,1
ALU0145,40,27,34,46,35,60,27,49,39.75,1
ALU0146,16,0,0,0,11,17,9,0,6.62,1
ALU0147,53,49,65,69,47,71,73,47,59.25,2
ALU0148,43,36,40,35,51,29,41,68,42.88,2
ALU0149,0,7,11,19,12,4,2,0,6.88,1
ALU0150,30,24,25,27,41,26,42,9,28.0,1
ALU0151,75,89,100,60,94,85,96,73,84.0,4
ALU0152,14,25,37,51,38,45,30,29,33.62,1
ALU0153,13,38,34,32,8,28,0,11,20.5,1
ALU0154,44,55,49,58,39,46,64,74,53.62,2
ALU0155,88,100,100,82,96,100,86,94,93.25,5
ALU0156,31,44,27,41,38,44,19,9,31.62,1
ALU0157,66,59,83,42,63,56,63,39,58.88,2
ALU0158,70,54,72,33,66,64,59,86,63.0,3
ALU0159,28,44,9,0,10,58,41,30,27.5,1
ALU0160,60,72,46,53,74,66,72,79,65.25,3
ALU0161,39,40,58,24,36,28,46,32,37.88,1
ALU0162,63,52,67,54,57,59,52,64,58.5,2
ALU0163,46,52,68,54,71,78,73,78,65.0,3
ALU0164,63,65,71,41,52,63,70,53,59.75,2
ALU0165,4,27,0,0,13,11,0,0,6.88,1
ALU0166,81,91,75,83,89,89,66,90,83.0,4
ALU0167,45,45,31,29,55,37,24,28,36.75,1
ALU0168,31,30,30,9,17,19,32,35,25.38,1
ALU0169,9,10,0,33,0,4,10,9,9.38,1
ALU0170,54,55,43,53,48,60,57,70,55.0,2
ALU0171,75,84,51,67,70,59,70,73,68.62,3
ALU0172,13,0,20,20,0,7,29,24,14.12,1
ALU0173,44,56,42,24,47,50,30,64,44.62,2
ALU0174,17,13,18,24,22,3,21,7,15.62,1
ALU0175,42,53,70,77,78,55,26,36,54.62,2
ALU0176,22,17,12,19,32,16,26,19,20.38,1
ALU0177,66,55,46,43,51,95,80,75,63.88,3
ALU0178,51,51,20,31,55,37,36,29,38.75,1
ALU0179,92,69,88,92,77,93,97,95,87.88,4
ALU0180,30,18,23,0,18,49,0,23,20.12,1
ALU0181,28,37,33,11,27,12,41,34,27.88,1
ALU0182,26,0,20,50,11,0,44,6,19.62,1
ALU0183,82,81,68,96,78,76,83,73,79.62,4
ALU0184,91,87,65,100,100,78,88,100,88.62,4
ALU0185,13,34,55,43,26,24,21,0,27.0,1
ALU0186,66,61,79,71,66,56,66,47,64.0,3
ALU0187,58,88,87,72,67,60,91,100,77.88,4
ALU0188,52,53,47,61,40,69,62,40,53.0,2
ALU0189,57,52,49,78,48,45,51,44,53.0,2
ALU0190,21,30,26,41,31,44,25,36,31.75,1
ALU0191,2,27,29,16,12,0,0,20,13.25,1
ALU0192,94,75,90,82,95,100,97,91,90.5,5
ALU0193,85,78,92,95,87,61,95,100,86.62,4
ALU0194,57,51,59,52,62,61,46,48,54.5,2
ALU0195,35,30,45,44,40,20,37,37,36.0,1
ALU0196,62,57,40,23,37,36,25,35,39.38,1
ALU0197,81,78,70,63,79,55,64,58,68.5,3
ALU0198,97,68,76,67,91,53,95,87,79.25,4
ALU0199,89,75,83,76,93,73,96,92,84.62,4
ALU0200,76,80,62,62,82,99,83,83,78.38,4
ALU0201,38,49,62,93,76,47,59,77,62.62,3
ALU0202,5,1,13,0,20,20,18,12,11.12,1
ALU0203,14,39,0,26,37,19,10,5,18.75,1
ALU0204,67,76,83,68,80,79,94,66,76.62,4
ALU0205,48,73,45,60,67,90,59,53,61.88,3
ALU0206,0,24,11,11,0,1,0,0,5.88,1
ALU0207,13,3,21,0,23,16,5,4,10.62,1
ALU0208,72,51,59,39,65,66,72,48,59.0,2
ALU0209,16,1,12,0,14,29,3,0,9.38,1
ALU0210,23,3,26,0,36,0,13,44,18.12,1
ALU0211,44,56,51,55,62,88,48,52,57.0,2
ALU0212,47,64,85,71,63,90,52,89,70.12,3
ALU0213,46,69,54,44,52,69,65,69,58.5,2
ALU0214,12,46,42,27,30,34,28,16,29.38,1
ALU0215,60,81,66,61,66,65,51,67,64.62,3
ALU0216,24,33,16,24,32,28,13,3,21.62,1
ALU0217,24,4,30,22,29,40,14,29,24.0,1
ALU0218,75,78,58,80,62,58,86,53,68.75,3
ALU0219,61,89,72,92,61,86,70,71,75.25,4
ALU0220,81,36,62,95,86,84,94,75,76.62,4
ALU0221,75,74,80,89,65,66,83,59,73.88,3
ALU0222,44,53,44,30,48,43,61,50,46.62,2
ALU0223,17,0,23,1,31,30,12,26,17.5,1
ALU0224,37,50,38,48,36,37,40,25,38.88,1
ALU0225,25,54,32,56,6,20,21,15,28.62,1
ALU0226,35,38,19,38,36,10,17,31,28.0,1
ALU0227,100,87,96,74,92,90,87,100,90.75,5
ALU0228,30,26,41,32,38,22,37,45,33.88,1
ALU0229,83,87,67,91,83,90,65,100,83.25,4
ALU0230,64,74,50,58,59,73,46,48,59.0,2
ALU0231,73,70,70,62,93,70,61,46,68.12,3
ALU0232,56,45,41,45,54,53,34,57,48.12,2
ALU0233,59,99,71,56,59,75,64,54,67.12,3
ALU0234,67,65,49,29,46,46,45,55,50.25,2
ALU0235,7,39,13,40,39,20,20,34,26.5,1
ALU0236,68,48,64,62,78,70,74,48,64.0,3
ALU0237,21,19,24,28,40,23,40,26,27.62,1
ALU0238,13,8,3,25,9,1,12,15,10.75,1
ALU0239,46,48,50,60,73,51,82,66,59.5,2
ALU0240,24,44,11,38,24,27,21,18,25.88,1
ALU0241,83,100,98,71,85,88,92,99,89.5,4
ALU0242,83,82,93,98,94,99,83,100,91.5,5
ALU0243,72,100,85,100,100,100,64,58,84.88,4
ALU0244,33,38,38,23,40,22,39,60,36.62,1
ALU0245,17,45,5,3,19,0,16,0,13.12,1
ALU0246,88,90,86,85,100,98,79,96,90.25,5
ALU0247,49,52,49,47,49,39,37,38,45.0,2
ALU0248,100,100,97,100,100,93,100,100,98.75,5
ALU0249,94,100,72,75,69,92,91,100,86.62,4
ALU0250,76,89,80,80,63,67,70,90,76.88,4
ALU0251,36,29,13,60,48,39,20,34,34.88,1
ALU0252,34,47,47,58,33,43,47,32,42.62,2
ALU0253,76,69,90,95,82,66,80,67,78.12,4
ALU0254,18,35,26,30,51,31,31,14,29.5,1
ALU0255,29,3,18,58,22,18,3,11,20.25,1
ALU0256,51,28,29,73,72,66,60,67,55.75,2
ALU0257,91,90,100,89,85,100,100,75,91.25,5
ALU0258,57,86,76,71,73,67,63,84,72.12,3
ALU0259,60,70,70,48,56,31,61,41,54.62,2
ALU0260,6,12,31,20,28,24,8,11,17.5,1
ALU0261,58,86,45,71,57,93,67,66,67.88,3
ALU0262,100,85,100,100,84,100,100,100,96.12,5
ALU0263,25,0,35,14,12,13,12,12,15.38,1
ALU0264,51,18,33,25,47,57,26,58,39.38,1
ALU0265,66,66,81,88,77,95,74,86,79.12,4
ALU0266,100,83,67,84,64,73,75,68,76.75,4
ALU0267,85,58,77,50,78,87,78,53,70.75,3
ALU0268,75,75,39,66,82,51,60,74,65.25,3
ALU0269,29,62,59,61,41,31,53,37,46.62,2
ALU0270,30,14,30,9,24,38,49,26,27.5,1
ALU0271,72,85,88,72,72,88,86,79,80.25,4
ALU0272,90,85,77,100,57,69,64,85,78.38,4
ALU0273,85,70,88,85,86,76,91,59,80.0,4
ALU0274,79,100,59,77,80,77,80,79,78.88,4
ALU0275,46,46,46,50,65,39,43,37,46.5,2
ALU0276,61,44,60,65,36,57,55,37,51.88,2
ALU0277,92,100,80,73,70,76,81,65,79.62,4
ALU0278,78,71,43,74,62,82,68,78,69.5,3
ALU0279,75,82,68,72,72,51,76,72,71.0,3
ALU0280,74,96,66,82,94,74,75,61,77.75,4
ALU0281,52,75,74,97,71,96,67,87,77.38,4
ALU0282,38,54,17,30,32,40,60,41,39.0,1
ALU0283,38,31,46,21,24,22,34,33,31.12,1
ALU0284,14,5,26,21,21,30,4,0,15.12,1
ALU0285,57,52,82,54,50,58,42,41,54.5,2
ALU0286,0,0,0,0,7,36,10,0,6.62,1
ALU0287,52,59,56,56,45,44,47,76,54.38,2
ALU0288,60,57,63,76,55,71,52,29,57.88,2
ALU0289,37,23,23,28,29,25,48,13,28.25,1
ALU0290,67,68,47,58,48,54,66,57,58.12,2
ALU0291,13,3,0,0,8,15,0,0,4.88,1
ALU0292,4,3,2,4,0,0,33,0,5.75,1
ALU0293,78,79,81,83,87,48,60,80,74.5,3
ALU0294,38,44,53,37,37,27,36,40,39.0,1
ALU0295,17,22,29,9,6,0,7,22,14.0,1
ALU0296,61,46,32,65,76,18,56,62,52.0,2
ALU0297,80,87,64,75,90,85,81,73,79.38,4
ALU0298,45,21,40,71,48,12,19,14,33.75,1
ALU0299,83,51,52,64,57,55,73,67,62.75,3
ALU0300,13,0,11,0,4,14,15,32,11.12,1
ALU0301,0,24,0,0,17,17,27,18,12.88,1
ALU0302,65,53,66,62,63,57,63,40,58.62,2
ALU0303,48,56,30,42,55,56,48,62,49.62,2
ALU0304,54,78,42,51,41,69,75,70,60.0,3
ALU0305,66,63,82,48,60,62,62,53,62.0,3
ALU0306,88,72,100,84,97,82,100,89,89.0,4
ALU0307,57,52,47,54,44,16,57,59,48.25,2
ALU0308,18,38,33,41,20,43,27,50,33.75,1
ALU0309,65,72,87,58,73,66,52,67,67.5,3
ALU0310,32,51,32,43,0,59,47,8,34.0,1
ALU0311,50,7,40,23,38,55,49,51,39.12,1
ALU0312,18,28,6,19,7,26,12,8,15.5,1
ALU0313,0,19,0,13,10,17,7,10,9.5,1
ALU0314,81,98,94,74,97,99,100,94,92.12,5
ALU0315,75,30,79,61,84,87,100,82,74.75,3
ALU0316,70,86,62,74,76,76,78,61,72.88,3
ALU0317,56,26,29,31,40,44,46,54,40.75,2
ALU0318,0,12,9,17,6,11,24,8,10.88,1
ALU0319,16,16,26,31,19,1,23,22,19.25,1
ALU0320,14,33,38,36,18,33,15,32,27.38,1
ALU0321,37,64,50,37,40,73,61,51,51.62,2
ALU0322,78,82,64,68,75,67,53,80,70.88,3
ALU0323,69,76,54,47,50,66,69,57,61.0,3
ALU0324,34,33,41,45,36,10,24,62,35.62,1
ALU0325,100,97,91,100,78,84,100,94,93.0,5
ALU0326,66,55,75,56,68,52,75,88,66.88,3
ALU0327,50,43,59,54,49,37,50,67,51.12,2
ALU0328,81,73,56,76,71,61,47,79,68.0,3
ALU0329,40,55,28,43,48,41,60,43,44.75,2
ALU0330,34,38,15,37,19,39,26,43,31.38,1
ALU0331,37,29,50,37,35,48,57,57,43.75,2
ALU0332,54,86,64,54,86,60,58,77,67.38,3
ALU0333,0,0,1,8,21,0,3,0,4.12,1
ALU0334,9,31,1,35,1,1,0,41,14.88,1
ALU0335,19,5,0,14,22,0,18,9,10.88,1
ALU0336,16,33,0,37,21,16,18,9,18.75,1
ALU0337,91,59,100,50,83,91,74,85,79.12,4
ALU0338,58,94,76,75,67,67,60,57,69.25,3
ALU0339,63,42,41,36,42,58,43,52,47.12,2
ALU0340,4,8,26,0,1,52,10,18,14.88,1
ALU0341,51,52,47,73,52,47,42,49,51.62,2
ALU0342,47,37,63,43,45,44,60,46,48.12,2
ALU0343,18,19,47,14,24,7,14,17,20.0,1
ALU0344,57,32,56,50,48,48,21,38,43.75,2
ALU0345,33,30,42,2,66,57,37,51,39.75,1
ALU0346,46,67,68,84,72,52,54,64,63.38,3
ALU0347,62,48,62,96,67,56,46,75,64.0,3
ALU0348,5,0,0,25,0,1,11,1,5.38,1
ALU0349,72,18,30,46,42,21,15,54,37.25,1
ALU0350,68,53,49,57,77,63,65,73,63.12,3
ALU0351,46,69,42,30,46,52,49,46,47.5,2
ALU0352,71,69,100,100,100,81,75,72,83.5,4
ALU0353,45,53,77,80,69,91,50,72,67.12,3
ALU0354,9,22,24,27,22,25,2,0,16.38,1
ALU0355,12,5,21,17,1,0,21,5,10.25,1
ALU0356,77,96,40,68,77,72,59,66,69.38,3
ALU0357,18,4,16,0,0,2,0,5,5.62,1
ALU0358,60,62,68,100,52,52,57,42,61.62,3
ALU0359,86,100,62,84,70,87,86,90,83.12,4
ALU0360,59,70,65,49,65,52,73,42,59.38,2
ALU0361,34,43,22,60,45,43,34,43,40.5,2
ALU0362,80,60,39,62,62,94,74,57,66.0,3
ALU0363,44,76,62,45,53,40,43,44,50.88,2
ALU0364,53,52,42,79,60,55,39,42,52.75,2
ALU0365,67,83,81,100,86,93,95,100,88.12,4
ALU0366,37,30,51,52,31,32,54,37,40.5,2
ALU0367,99,65,87,65,74,85,100,81,82.0,4
ALU0368,75,98,84,93,84,100,90,84,88.5,4
ALU0369,15,0,20,4,9,14,34,46,17.75,1
ALU0370,19,11,15,3,12,0,13,15,11.0,1
ALU0371,0,10,11,17,12,40,15,29,16.75,1
ALU0372,17,40,8,5,2,0,0,0,9.0,1
ALU0373,8,0,7,25,23,26,16,10,14.38,1
ALU0374,62,52,70,80,56,63,84,52,64.88,3
ALU0375,0,9,15,26,0,0,0,4,6.75,1
ALU0376,37,30,56,9,31,28,17,22,28.75,1
ALU0377,100,72,76,100,73,77,77,99,84.25,4
ALU0378,14,5,4,6,8,0,0,17,6.75,1
ALU0379,69,59,81,100,69,84,86,67,76.88,4
ALU0380,41,35,41,0,34,35,9,23,27.25,1
ALU0381,12,0,2,10,5,10,23,20,10.25,1
ALU0382,81,67,68,41,57,74,79,80,68.38,3
ALU0383,69,52,31,46,67,64,69,76,59.25,2
ALU0384,54,99,80,84,83,100,84,92,84.5,4
ALU0385,61,97,84,65,59,54,77,96,74.12,3
ALU0386,86,72,68,100,67,72,63,83,76.38,4
ALU0387,31,51,32,62,26,45,33,24,38.0,1
ALU0388,10,16,14,3,9,29,13,9,12.88,1
ALU0389,66,58,62,63,69,38,83,57,62.0,3
ALU0390,58,100,89,59,75,52,86,60,72.38,3
ALU0391,93,100,81,100,84,94,84,100,92.0,5
ALU0392,64,42,45,44,48,66,46,64,52.38,2
ALU0393,46,48,42,39,28,32,43,39,39.62,1
ALU0394,96,78,64,80,87,84,69,100,82.25,4
ALU0395,44,34,37,30,33,36,35,36,35.62,1
ALU0396,99,68,77,73,82,97,94,97,85.88,4
ALU0397,100,78,88,83,87,98,76,60,83.75,4
ALU0398,47,52,27,38,43,57,32,54,43.75,2
ALU0399,70,70,68,78,80,86,75,63,73.75,3
ALU0400,83,86,69,43,52,63,90,84,71.25,3
ALU0401,28,20,27,17,19,12,12,32,20.88,1
ALU0402,81,73,87,73,81,94,82,90,82.62,4
ALU0403,43,30,61,53,50,57,40,56,48.75,2
ALU0404,80,77,86,95,78,88,93,81,84.75,4
ALU0405,42,25,40,23,47,7,44,42,33.75,1
ALU0406,93,90,81,100,66,100,83,100,89.12,4
ALU0407,25,29,52,8,56,14,30,40,31.75,1
ALU0408,25,0,1,33,13,0,0,8,10.0,1
ALU0409,80,100,65,100,88,89,76,61,82.38,4
ALU0410,10,15,10,0,0,12,7,19,9.12,1
ALU0411,24,23,39,17,17,55,27,22,28.0,1
ALU0412,100,90,71,63,84,72,81,87,81.0,4
ALU0413,92,100,79,100,96,85,100,97,93.62,5
ALU0414,48,61,41,50,56,27,75,33,48.88,2
ALU0415,70,70,71,54,67,63,48,68,63.88,3
ALU0416,53,34,65,25,30,42,38,48,41.88,2
ALU0417,29,46,28,64,31,12,20,41,33.88,1
ALU0418,42,69,40,17,45,54,38,25,41.25,2
ALU0419,57,53,71,65,80,81,61,81,68.62,3
ALU0420,67,54,91,76,60,73,60,76,69.62,3
ALU0421,56,78,68,69,72,93,96,66,74.75,3
ALU0422,62,89,73,65,72,74,81,56,71.5,3
ALU0423,31,11,9,6,6,23,1,5,11.5,1
ALU0424,65,33,50,59,58,62,67,61,56.88,2
ALU0425,10,8,40,3,38,0,0,16,14.38,1
ALU0426,71,63,54,83,43,60,61,24,57.38,2
ALU0427,43,38,34,30,48,47,73,40,44.12,2
ALU0428,82,94,71,98,87,69,83,86,83.75,4
ALU0429,37,54,51,4,39,17,33,63,37.25,1
ALU0430,14,19,5,1,28,23,17,33,17.5,1
ALU0431,15,17,25,3,21,13,44,15,19.12,1
ALU0432,84,85,65,53,52,51,91,76,69.62,3
ALU0433,62,47,45,65,46,69,55,41,53.75,2
ALU0434,21,0,21,12,3,28,17,0,12.75,1
ALU0435,22,8,5,0,5,0,23,7,8.75,1
ALU0436,71,60,73,100,66,68,62,82,72.75,3
ALU0437,1,0,17,14,9,34,0,14,11.12,1
ALU0438,65,100,85,78,60,65,91,68,76.5,4
ALU0439,70,100,65,92,52,94,74,81,78.5,4
ALU0440,10,7,20,30,0,7,16,37,15.88,1
ALU0441,13,14,1,7,0,11,25,0,8.88,1
ALU0442,93,90,64,58,100,72,80,93,81.25,4
ALU0443,64,55,47,48,35,18,35,31,41.62,2
ALU0444,25,57,40,21,28,28,70,38,38.38,1
ALU0445,58,51,70,100,58,91,84,71,72.88,3
ALU0446,93,97,72,76,80,100,97,100,89.38,4
ALU0447,89,74,69,85,99,100,95,92,87.88,4
ALU0448,75,99,73,48,77,70,50,77,71.12,3
ALU0449,44,45,58,16,36,33,29,41,37.75,1
ALU0450,25,0,10,10,9,0,23,0,9.62,1
ALU0451,59,71,70,71,57,91,68,77,70.5,3
ALU0452,49,50,54,46,47,44,53,34,47.12,2
ALU0453,47,51,69,80,48,39,46,68,56.0,2
ALU0454,94,100,95,97,79,94,74,99,91.5,5
ALU0455,36,0,3,15,31,21,0,6,14.0,1
ALU0456,58,76,49,0,61,40,49,46,47.38,2
ALU0457,5,30,10,20,1,4,1,20,11.38,1
ALU0458,38,34,34,100,44,38,49,50,48.38,2
ALU0459,4,11,19,6,32,0,0,0,9.0,1
ALU0460,9,41,5,1,24,0,9,18,13.38,1
ALU0461,22,34,0,18,16,0,23,30,17.88,1
ALU0462,65,58,64,37,65,68,98,30,60.62,3
ALU0463,58,84,71,80,73,68,73,74,72.62,3
ALU0464,53,100,57,84,57,40,65,45,62.62,3
ALU0465,100,93,82,79,80,73,97,100,88.0,4
ALU0466,42,29,31,27,34,20,42,32,32.12,1
ALU0467,36,33,44,29,16,21,38,22,29.88,1
ALU0468,87,86,88,74,90,100,71,94,86.25,4
ALU0469,41,17,13,0,23,14,20,12,17.5,1
ALU0470,94,98,68,84,99,100,94,92,91.12,5
ALU0471,2,0,0,0,0,29,0,10,5.12,1
ALU0472,83,82,94,100,100,94,97,89,92.38,5
ALU0473,11,20,1,29,21,0,0,0,10.25,1
ALU0474,60,58,76,100,69,83,94,73,76.62,4
ALU0475,50,66,45,66,47,51,50,50,53.12,2
ALU0476,92,64,93,98,90,100,100,67,88.0,4
ALU0477,0,0,21,0,0,0,23,12,7.0,1
ALU0478,45,47,54,78,52,71,71,51,58.62,2
ALU0479,100,96,92,98,97,66,95,100,93.0,5
ALU0480,54,71,49,29,47,64,31,61,50.75,2
ALU0481,62,62,55,45,44,55,40,45,51.0,2
ALU0482,70,63,78,44,75,95,52,60,67.12,3
ALU0483,46,54,54,8,37,56,54,32,42.62,2
ALU0484,73,48,86,68,54,70,44,54,62.12,3
ALU0485,58,59,64,35,74,43,54,54,55.12,2
ALU0486,71,68,80,72,90,100,81,100,82.75,4
ALU0487,25,10,0,9,0,51,13,0,13.5,1
ALU0488,33,28,41,26,18,60,38,42,35.75,1
ALU0489,84,78,80,77,100,75,91,94,84.88,4
ALU0490,72,87,94,100,94,82,94,100,90.38,5
ALU0491,49,48,36,18,40,28,32,41,36.5,1
ALU0492,59,78,65,34,48,51,73,49,57.12,2
ALU0493,45,5,17,38,33,34,31,31,29.25,1
ALU0494,18,20,31,10,27,32,31,0,21.12,1
ALU0495,38,35,31,34,43,54,40,48,40.38,2
